iter	Passed	Remaining
0	84	71601
1	188	79625
2	428	120378
3	537	112963
4	684	114947
5	737	103129
6	845	101180
7	984	102977
8	1045	97158
9	1089	90932
10	1177	89253
11	1256	87233
12	1326	84909
13	1415	83994
14	1498	82928
15	1620	83948
16	1661	80944
17	1701	78180
18	1739	75631
19	1777	73305
20	1816	71273
21	1860	69595
22	1986	70989
23	2059	70465
24	2198	72113
25	2241	70610
26	2313	70079
27	2444	71318
28	2525	71056
29	2567	69763
30	2607	68472
31	2648	67285
32	2688	66142
33	2725	65012
34	2765	63996
35	2806	63067
36	2846	62151
37	2887	61315
38	2927	60496
39	2967	59725
40	3007	58974
41	3046	58244
42	3086	57567
43	3245	59075
44	3295	58592
45	3447	59877
46	3592	60988
47	3646	60550
48	3700	60118
49	3830	60911
50	3875	60341
51	4000	61000
52	4138	61846
53	4290	62854
54	4343	62391
55	4424	62343
56	4510	62351
57	4552	61771
58	4592	61187
59	4629	60566
60	4667	59994
61	4775	60309
62	4852	60234
63	4990	60898
64	5037	60451
65	5110	60325
66	5178	60127
67	5302	60589
68	5391	60633
69	5526	61182
70	5645	61546
71	5783	62094
72	5875	62132
73	5949	61986
74	6127	62911
75	6276	63504
76	6467	64504
77	6504	63958
78	6540	63418
79	6579	62916
80	6629	62534
81	6765	62954
82	6917	63511
83	6997	63390
84	7115	63620
85	7231	63818
86	7381	64315
87	7527	64750
88	7666	65126
89	7719	64760
90	7800	64633
91	7950	65077
92	8126	65707
93	8205	65558
94	8275	65336
95	8357	65206
96	8511	65631
97	8613	65659
98	8763	66034
99	8814	65666
100	8951	65937
101	8992	65500
102	9128	65764
103	9269	66044
104	9327	65739
105	9372	65340
106	9413	64927
107	9452	64501
108	9490	64081
109	9528	63666
110	9589	63412
111	9677	63332
112	9809	63541
113	9846	63141
114	9885	62751
115	9923	62366
116	9960	61979
117	9999	61605
118	10138	61850
119	10197	61612
120	10246	61310
121	10283	60941
122	10322	60593
123	10364	60263
124	10403	59926
125	10442	59587
126	10480	59253
127	10520	58932
128	10600	58839
129	10667	58671
130	10714	58397
131	10885	58800
132	10937	58553
133	11003	58381
134	11080	58272
135	11146	58106
136	11267	58226
137	11306	57923
138	11380	57804
139	11447	57648
140	11506	57450
141	11593	57397
142	11634	57117
143	11675	56834
144	11712	56541
145	11750	56257
146	11791	55989
147	11839	55756
148	11985	55983
149	12038	55780
150	12080	55522
151	12142	55358
152	12206	55206
153	12325	55306
154	12375	55089
155	12448	54980
156	12520	54868
157	12563	54625
158	12700	54796
159	12860	55057
160	12922	54901
161	12965	54662
162	13005	54417
163	13045	54168
164	13085	53926
165	13124	53684
166	13165	53452
167	13205	53214
168	13247	52988
169	13291	52774
170	13331	52548
171	13367	52304
172	13403	52064
173	13511	52104
174	13576	51978
175	13615	51755
176	13654	51534
177	13692	51307
178	13730	51087
179	13768	50867
180	13808	50656
181	13845	50438
182	13884	50226
183	13921	50012
184	13960	49805
185	14079	49884
186	14215	50020
187	14248	49795
188	14374	49893
189	14415	49695
190	14450	49481
191	14574	49567
192	14715	49712
193	14762	49536
194	14804	49348
195	14841	49145
196	14876	48935
197	14911	48726
198	14948	48526
199	14985	48329
200	15021	48128
201	15057	47930
202	15095	47740
203	15132	47548
204	15167	47350
205	15203	47161
206	15240	46971
207	15273	46774
208	15415	46910
209	15455	46733
210	15594	46857
211	15641	46702
212	15680	46527
213	15724	46365
